Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Play Off Game?,Home Odds Close,Away Odds Close,Winning Team,lat,long,Weather
2019-06-09,15:20:00,Sydney,West Coast,Sydney Cricket Ground,116,71,0,1.9,1.95,Sydney,-33.8915316,151.2248515,0.0
2019-06-08,19:10:00,Adelaide,GWS Giants,Adelaide Oval,82,61,0,1.8,2.05,Adelaide,-34.9156274,138.5963065,0.0
2019-06-08,16:35:00,Gold Coast,North Melbourne,People First Stadium,72,99,0,3.2,1.38,North Melbourne,-28.0063039,153.3671008,1.2
2019-06-08,13:45:00,Carlton,Brisbane,Marvel Stadium,78,63,0,2.8,1.47,Carlton,-37.8165647,144.9475055,0.0
2019-06-07,19:50:00,Richmond,Geelong,MCG,37,104,0,3.0,1.42,Geelong,28.4594965,77.0266383,
2019-06-02,15:20:00,West Coast,Western Bulldogs,Optus Stadium,133,72,0,1.24,4.25,West Coast,-31.9511355,115.8890382,0.0
2019-06-02,15:20:00,Essendon,Carlton,MCG,74,33,0,1.42,3.0,Essendon,28.4594965,77.0266383,
2019-06-02,12:40:00,St Kilda,Port Adelaide,Jiangwan Sports Centre,69,139,0,3.35,1.35,Port Adelaide,31.307598,121.51861,
2019-06-01,19:10:00,Melbourne,Adelaide,TIO Stadium,88,90,0,2.45,1.58,Adelaide,-12.3991939,130.8873116,0.0
2019-06-01,19:25:00,Brisbane,Hawthorn,Gabba,85,66,0,1.63,2.35,Brisbane,-27.4858376,153.0380853,0.0
2019-06-01,16:35:00,Geelong,Sydney,GMHBA Stadium,85,63,0,1.17,5.4,Geelong,-38.1579979,144.354673,1.0
2019-06-01,13:45:00,Collingwood,Fremantle,MCG,75,79,0,1.15,6.0,Fremantle,28.4594965,77.0266383,
2019-06-01,13:45:00,GWS Giants,Gold Coast,ENGIE Stadium,126,43,0,1.04,13.0,GWS Giants,-33.84306979999999,151.0676963,0.0
2019-05-31,19:50:00,North Melbourne,Richmond,Marvel Stadium,99,62,0,3.1,1.4,North Melbourne,-37.8165647,144.9475055,1.0
2019-05-26,15:20:00,Fremantle,Brisbane,Optus Stadium,73,72,0,1.7,2.22,Fremantle,-31.9511355,115.8890382,0.0
2019-05-26,15:20:00,St Kilda,Carlton,Marvel Stadium,68,55,0,1.48,2.75,St Kilda,-37.8165647,144.9475055,12.4
2019-05-26,13:10:00,Melbourne,GWS Giants,MCG,68,94,0,2.55,1.54,GWS Giants,28.4594965,77.0266383,
2019-05-25,19:25:00,Gold Coast,Geelong,People First Stadium,64,91,0,7.25,1.11,Geelong,-28.0063039,153.3671008,0.0
2019-05-25,19:25:00,Richmond,Essendon,MCG,73,50,0,1.68,2.25,Richmond,28.4594965,77.0266383,0.0
2019-05-25,16:05:00,Adelaide,West Coast,Adelaide Oval,73,85,0,1.54,2.55,West Coast,-34.9156274,138.5963065,0.8
2019-05-25,14:10:00,Western Bulldogs,North Melbourne,Marvel Stadium,90,115,0,1.6,2.4,North Melbourne,-37.8165647,144.9475055,0.8
2019-05-25,13:45:00,Hawthorn,Port Adelaide,UTAS Stadium,80,49,0,1.68,2.25,Hawthorn,-41.4259371,147.1391665,12.4
2019-05-24,19:50:00,Sydney,Collingwood,Sydney Cricket Ground,73,80,0,2.85,1.45,Collingwood,-33.8915316,151.2248515,0.0
2019-05-19,16:40:00,GWS Giants,Carlton,ENGIE Stadium,138,45,0,1.11,7.25,GWS Giants,-33.84306979999999,151.0676963,0.0
2019-05-19,15:20:00,Richmond,Hawthorn,MCG,95,59,0,1.8,2.05,Richmond,28.4594965,77.0266383,0.0
2019-05-19,12:40:00,Port Adelaide,Gold Coast,Adelaide Oval,89,51,0,1.22,4.5,Port Adelaide,-34.9156274,138.5963065,0.0
2019-05-18,19:35:00,Essendon,Fremantle,Marvel Stadium,60,53,0,1.48,2.75,Essendon,-37.8165647,144.9475055,0.0
2019-05-18,19:25:00,North Melbourne,Sydney,Blundstone Arena,72,77,0,1.36,3.3,Sydney,-42.8772963,147.3740128,0.0
2019-05-18,16:35:00,Geelong,Western Bulldogs,GMHBA Stadium,133,89,0,1.22,4.5,Geelong,-38.1579979,144.354673,0.0
2019-05-18,14:10:00,Brisbane,Adelaide,Gabba,93,92,0,1.75,2.15,Brisbane,-27.4858376,153.0380853,1.6
2019-05-18,13:45:00,Collingwood,St Kilda,MCG,112,71,0,1.24,4.25,Collingwood,28.4594965,77.0266383,20.1
2019-05-17,20:10:00,West Coast,Melbourne,Optus Stadium,85,69,0,1.28,3.85,West Coast,-31.9511355,115.8890382,1.8
2019-05-12,15:20:00,Fremantle,Richmond,Optus Stadium,86,111,0,1.6,2.4,Richmond,-31.9511355,115.8890382,0.0
2019-05-12,15:20:00,Hawthorn,GWS Giants,MCG,71,38,0,2.3,1.65,Hawthorn,28.4594965,77.0266383,
2019-05-12,13:10:00,North Melbourne,Geelong,Marvel Stadium,80,104,0,4.0,1.27,Geelong,-37.8165647,144.9475055,0.0
2019-05-11,19:10:00,Port Adelaide,Adelaide,Adelaide Oval,68,88,0,2.25,1.68,Adelaide,-34.9156274,138.5963065,1.6
2019-05-11,19:25:00,St Kilda,West Coast,Marvel Stadium,70,88,0,2.1,1.77,West Coast,-37.8165647,144.9475055,16.2
2019-05-11,16:35:00,Gold Coast,Melbourne,People First Stadium,60,61,0,3.1,1.4,Melbourne,-28.0063039,153.3671008,0.0
2019-05-11,13:45:00,Carlton,Collingwood,MCG,87,106,0,7.25,1.11,Collingwood,28.4594965,77.0266383,0.0
2019-05-11,13:45:00,Western Bulldogs,Brisbane,Marvel Stadium,92,76,0,1.68,2.25,Western Bulldogs,-37.8165647,144.9475055,16.2
2019-05-10,19:50:00,Sydney,Essendon,Sydney Cricket Ground,77,72,0,2.75,1.48,Sydney,-33.8915316,151.2248515,0.0
2019-05-05,16:10:00,Adelaide,Fremantle,Adelaide Oval,51,34,0,1.35,3.35,Adelaide,-34.9156274,138.5963065,0.0
2019-05-05,15:20:00,Geelong,Essendon,MCG,86,54,0,1.63,2.35,Geelong,28.4594965,77.0266383,0.0
2019-05-05,13:10:00,Carlton,North Melbourne,Marvel Stadium,62,120,0,2.68,1.5,North Melbourne,-37.8165647,144.9475055,1.0
2019-05-04,18:10:00,West Coast,Gold Coast,Optus Stadium,80,57,0,1.07,10.0,West Coast,-31.9511355,115.8890382,2.0
2019-05-04,19:25:00,Western Bulldogs,Richmond,Marvel Stadium,99,52,0,2.85,1.45,Western Bulldogs,-37.8165647,144.9475055,0.0
2019-05-04,16:35:00,Brisbane,Sydney,Gabba,103,81,0,1.42,3.0,Brisbane,-27.4858376,153.0380853,0.0
2019-05-04,13:45:00,GWS Giants,St Kilda,Manuka Oval,114,70,0,1.27,4.0,GWS Giants,-35.318133,149.134662,0.0
2019-05-04,13:45:00,Melbourne,Hawthorn,MCG,79,74,0,2.25,1.68,Melbourne,28.4594965,77.0266383,7.1
2019-05-03,19:50:00,Collingwood,Port Adelaide,Marvel Stadium,108,69,0,1.28,3.85,Collingwood,-37.8165647,144.9475055,0.6
2019-04-28,16:40:00,Geelong,West Coast,GMHBA Stadium,104,46,0,1.3,3.7,Geelong,-38.1579979,144.354673,0.0
2019-04-28,15:20:00,Hawthorn,Carlton,UTAS Stadium,93,88,0,1.3,3.7,Hawthorn,-41.4259371,147.1391665,0.0
2019-04-27,18:10:00,Fremantle,Western Bulldogs,Optus Stadium,88,69,0,1.44,2.9,Fremantle,-31.9511355,115.8890382,0.0
2019-04-27,19:25:00,Sydney,GWS Giants,Sydney Cricket Ground,79,120,0,3.2,1.38,GWS Giants,-33.8915316,151.2248515,0.0
2019-04-27,16:35:00,St Kilda,Adelaide,Marvel Stadium,68,97,0,1.8,2.05,Adelaide,-37.8165647,144.9475055,0.0
2019-04-27,13:45:00,Gold Coast,Brisbane,People First Stadium,62,111,0,3.0,1.42,Brisbane,-28.0063039,153.3671008,0.0
2019-04-26,19:20:00,Port Adelaide,North Melbourne,Adelaide Oval,88,72,0,1.24,4.25,Port Adelaide,-34.9156274,138.5963065,0.4
2019-04-25,15:20:00,Essendon,Collingwood,MCG,69,73,0,2.62,1.52,Collingwood,28.4594965,77.0266383,
2019-04-24,19:35:00,Richmond,Melbourne,MCG,85,42,0,1.5,2.68,Richmond,28.4594965,77.0266383,
2019-04-22,15:20:00,Hawthorn,Geelong,MCG,90,113,0,2.68,1.5,Geelong,28.4594965,77.0266383,
2019-04-21,16:10:00,Adelaide,Gold Coast,Adelaide Oval,119,46,0,1.19,5.0,Adelaide,-34.9156274,138.5963065,0.2
2019-04-21,13:10:00,Western Bulldogs,Carlton,Marvel Stadium,57,101,0,1.38,3.2,Carlton,-37.8165647,144.9475055,0.0
2019-04-20,19:25:00,Richmond,Sydney,Marvel Stadium,89,67,0,1.48,2.75,Richmond,-37.8165647,144.9475055,0.0
2019-04-20,16:35:00,Melbourne,St Kilda,MCG,55,95,0,1.45,2.85,St Kilda,28.4594965,77.0266383,
2019-04-20,13:45:00,GWS Giants,Fremantle,Manuka Oval,82,106,0,1.13,6.5,Fremantle,-35.318133,149.134662,0.0
2019-04-19,18:10:00,West Coast,Port Adelaide,Optus Stadium,53,95,0,1.3,3.7,Port Adelaide,-31.9511355,115.8890382,23.4
2019-04-19,16:20:00,North Melbourne,Essendon,Marvel Stadium,58,116,0,2.22,1.7,Essendon,-37.8165647,144.9475055,0.0
2019-04-18,19:35:00,Brisbane,Collingwood,Gabba,61,123,0,2.25,1.68,Collingwood,-27.4858376,153.0380853,0.2
2019-04-14,15:20:00,St Kilda,Hawthorn,Marvel Stadium,74,69,0,2.62,1.52,St Kilda,-37.8165647,144.9475055,0.0
2019-04-14,14:40:00,Gold Coast,Carlton,People First Stadium,59,57,0,1.7,2.22,Gold Coast,-28.0063039,153.3671008,0.2
2019-04-13,18:10:00,West Coast,Fremantle,Optus Stadium,69,56,0,1.12,6.75,West Coast,-31.9511355,115.8890382,0.0
2019-04-13,19:25:00,North Melbourne,Adelaide,Marvel Stadium,71,59,0,1.83,2.02,North Melbourne,-37.8165647,144.9475055,0.0
2019-04-13,16:05:00,Port Adelaide,Richmond,Adelaide Oval,92,99,0,1.28,3.85,Richmond,-34.9156274,138.5963065,0.0
2019-04-13,14:10:00,Essendon,Brisbane,MCG,112,65,0,1.72,2.18,Essendon,28.4594965,77.0266383,0.0
2019-04-13,13:45:00,Geelong,GWS Giants,GMHBA Stadium,75,79,0,1.45,2.85,GWS Giants,-38.1579979,144.354673,0.0
2019-04-12,19:50:00,Collingwood,Western Bulldogs,MCG,78,64,0,1.3,3.7,Collingwood,28.4594965,77.0266383,0.3
2019-04-11,19:20:00,Sydney,Melbourne,Sydney Cricket Ground,78,100,0,1.77,2.1,Melbourne,-33.8915316,151.2248515,0.0
2019-04-07,15:20:00,Fremantle,St Kilda,Optus Stadium,71,66,0,1.4,3.1,Fremantle,-31.9511355,115.8890382,0.0
2019-04-07,15:20:00,Hawthorn,North Melbourne,MCG,87,71,0,1.56,2.5,Hawthorn,28.4594965,77.0266383,6.1
2019-04-07,14:20:00,Western Bulldogs,Gold Coast,Marvel Stadium,68,73,0,1.19,5.0,Gold Coast,-37.8165647,144.9475055,0.0
2019-04-06,18:25:00,Brisbane,Port Adelaide,Gabba,107,90,0,1.6,2.4,Brisbane,-27.4858376,153.0380853,0.0
2019-04-06,19:25:00,Collingwood,West Coast,MCG,76,98,0,1.36,3.3,West Coast,28.4594965,77.0266383,0.0
2019-04-06,16:35:00,GWS Giants,Richmond,ENGIE Stadium,125,76,0,1.5,2.68,GWS Giants,-33.84306979999999,151.0676963,1.0
2019-04-06,13:45:00,Carlton,Sydney,Marvel Stadium,74,93,0,2.8,1.47,Sydney,-37.8165647,144.9475055,0.0
