Date,Round,Venue,A_Team,B_Team,Winner
2012-06-30 16:40:00,14,Subiaco,Gold Coast,West Coast,West Coast
2012-06-30 19:40:00,14,Docklands,Western Bulldogs,Essendon,Essendon
2012-06-30 19:40:00,14,Stadium Australia,Greater Western Sydney,Sydney,Sydney
2012-07-01 13:10:00,14,GMHBA Stadium,Port Adelaide,Geelong,Geelong
2012-07-01 15:15:00,14,Gabba,Melbourne,Brisbane Lions,Brisbane Lions
2012-07-01 16:40:00,14,Docklands,North Melbourne,St Kilda,North Melbourne
2012-07-06 19:50:00,15,M.C.G.,Carlton,Collingwood,Carlton
2012-07-07 13:45:00,15,Bellerive Oval,West Coast,North Melbourne,West Coast
2012-07-07 14:10:00,15,M.C.G.,Richmond,Melbourne,Richmond
2012-07-07 16:40:00,15,S.C.G.,Brisbane Lions,Sydney,Sydney
2012-07-07 19:40:00,15,Football Park,Adelaide,Port Adelaide,Adelaide
2012-07-07 19:40:00,15,Docklands,Essendon,St Kilda,St Kilda
2012-07-08 13:10:00,15,M.C.G.,Greater Western Sydney,Hawthorn,Hawthorn
2012-07-08 15:15:00,15,Carrara,Geelong,Gold Coast,Geelong
2012-07-08 16:40:00,15,Subiaco,Western Bulldogs,Fremantle,Fremantle
2012-07-13 19:50:00,16,Docklands,Carlton,North Melbourne,North Melbourne
2012-07-14 13:45:00,16,Docklands,Fremantle,Melbourne,Fremantle
2012-07-14 14:10:00,16,Football Park,Essendon,Port Adelaide,Essendon
2012-07-14 16:40:00,16,Cazaly's Stadium,Gold Coast,Richmond,Gold Coast
2012-07-14 19:40:00,16,Gabba,St Kilda,Brisbane Lions,St Kilda
2012-07-14 19:40:00,16,M.C.G.,Collingwood,Geelong,Collingwood
2012-07-15 13:10:00,16,Sydney Showground,Adelaide,Greater Western Sydney,Adelaide
2012-07-15 15:15:00,16,Docklands,Hawthorn,Western Bulldogs,Hawthorn
2012-07-15 16:40:00,16,Subiaco,Sydney,West Coast,Sydney
2012-07-20 19:50:00,17,Docklands,Essendon,Geelong,Geelong
2012-07-21 13:45:00,17,M.C.G.,Hawthorn,Collingwood,Hawthorn
2012-07-21 14:10:00,17,Football Park,West Coast,Adelaide,Adelaide
2012-07-21 16:40:00,17,Carrara,Brisbane Lions,Gold Coast,Brisbane Lions
2012-07-21 19:40:00,17,Marrara Oval,Port Adelaide,Melbourne,Port Adelaide
2012-07-21 19:40:00,17,Docklands,Carlton,Western Bulldogs,Carlton
2012-07-22 13:10:00,17,S.C.G.,St Kilda,Sydney,Sydney
2012-07-22 15:15:00,17,M.C.G.,North Melbourne,Richmond,North Melbourne
2012-07-22 16:40:00,17,Subiaco,Greater Western Sydney,Fremantle,Fremantle
2012-07-27 19:50:00,18,Docklands,Hawthorn,Essendon,Hawthorn
2012-07-28 13:45:00,18,GMHBA Stadium,Adelaide,Geelong,Geelong
2012-07-28 14:10:00,18,Docklands,Melbourne,North Melbourne,North Melbourne
2012-07-28 16:40:00,18,Sydney Showground,Collingwood,Greater Western Sydney,Collingwood
2012-07-28 19:40:00,18,M.C.G.,Richmond,Carlton,Carlton
2012-07-28 19:40:00,18,Carrara,Sydney,Gold Coast,Sydney
2012-07-29 13:10:00,18,Football Park,Fremantle,Port Adelaide,Fremantle
